Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2207.82it/s]
K2MXI1_TRYCR: Predicted ERROR, probability : 0.8525
W4XAM9_STRPU: Predicted ERROR, probability : 0.9963
I1E5W9_AMPQE: Predicted ERROR, probability : 0.9987
M3WKW0_FELCA: Predicted CORRECT, probability : 0.3437
H9KX96_CALJA: Predicted CORRECT, probability : 0.4588
A0A078A8X4_STYLE: Predicted ERROR, probability : 0.9939
A0A158QYG1_NIPBR: Predicted ERROR, probability : 0.9990
G3PIC2_GASAC: Predicted ERROR, probability : 0.6845
A0A024G8A2_9STRA: Predicted ERROR, probability : 0.7971
B6KHN1_TOXGV: Predicted ERROR, probability : 0.8746
W4XPH5_STRPU: Predicted CORRECT, probability : 0.2370
S9URU1_9TRYP: Predicted ERROR, probability : 0.9940
A0A0W8B5F2_PHYNI: Predicted CORRECT, probability : 0.4133
A0A0M9G5S3_9TRYP: Predicted ERROR, probability : 0.5245
G5BRE7_HETGA: Predicted ERROR, probability : 0.7815
V6U1A3_GIAIN: Predicted ERROR, probability : 0.9782
F0Y179_AURAN: Predicted ERROR, probability : 0.5033
A0A183IS31_9BILA: Predicted ERROR, probability : 0.9896
H3CWU4_TETNG: Predicted ERROR, probability : 0.8680
T0NN20_CAMFR: Predicted ERROR, probability : 0.9729
F4NSL0_BATDJ: Predicted CORRECT, probability : 0.4824
A0A0D2M4P4_9CHLO: Predicted ERROR, probability : 0.9981
M7CCT6_CHEMY: Predicted ERROR, probability : 0.9998
A0A151MGW5_ALLMI: Predicted ERROR, probability : 0.8565
A0A0N4TJ37_BRUPA: Predicted ERROR, probability : 0.8239
B0W1I5_CULQU: Predicted ERROR, probability : 0.9835
A0A0L0D5Q7_THETB: Predicted ERROR, probability : 0.6063
W4XKH6_STRPU: Predicted ERROR, probability : 0.9581
G1PT86_MYOLU: Predicted ERROR, probability : 0.9999
F7EC15_XENTR: Predicted ERROR, probability : 0.8774
A0A077ZAS1_TRITR: Predicted CORRECT, probability : 0.4395
V8P769_OPHHA: Predicted ERROR, probability : 0.5551
F0YK18_AURAN: Predicted ERROR, probability : 0.9951
A0A0R3PRV8_ANGCS: Predicted ERROR, probability : 0.9427
T1IPN7_STRMM: Predicted ERROR, probability : 0.8273
A0A0L0DL12_THETB: Predicted ERROR, probability : 0.5637
F6X9Y0_XENTR: Predicted ERROR, probability : 0.5428
H9J068_BOMMO: Predicted ERROR, probability : 0.9864
F5HK34_ANOGA: Predicted CORRECT, probability : 0.4512
A0A077ZY59_STYLE: Predicted ERROR, probability : 0.8700
W4YRA4_STRPU: Predicted ERROR, probability : 0.9146
A0A0N4VCE4_ENTVE: Predicted ERROR, probability : 0.9981
U6NZP0_HAECO: Predicted ERROR, probability : 0.6564
U6NNW6_HAECO: Predicted ERROR, probability : 0.9122
G7YC21_CLOSI: Predicted ERROR, probability : 0.9990
I3MIT5_ICTTR: Predicted CORRECT, probability : 0.1476
A0A0B2UU12_TOXCA: Predicted ERROR, probability : 0.7344
A0A0L0DRR9_THETB: Predicted CORRECT, probability : 0.4841
H2M4X9_ORYLA: Predicted ERROR, probability : 0.9968
K7JBD5_NASVI: Predicted ERROR, probability : 0.9959
H9JBL6_BOMMO: Predicted ERROR, probability : 0.7604
D8LTW5_ECTSI: Predicted ERROR, probability : 0.5273
A0A067BUM2_SAPPC: Predicted ERROR, probability : 0.9097
A9UQE8_MONBE: Predicted ERROR, probability : 0.9210
A0A0G4J500_PLABS: Predicted ERROR, probability : 0.7053
W6KHM9_9TRYP: Predicted ERROR, probability : 0.6262
U3KK29_FICAL: Predicted ERROR, probability : 0.8492
T1KAU0_TETUR: Predicted ERROR, probability : 0.8896
F0YP02_AURAN: Predicted ERROR, probability : 0.6137
J9I0G0_9SPIT: Predicted CORRECT, probability : 0.2185
A0A0G4EZB0_VITBC: Predicted ERROR, probability : 0.5470
A0A158PHJ3_ANGCS: Predicted CORRECT, probability : 0.4796
A0A151PG80_ALLMI: Predicted ERROR, probability : 0.9960
A0A0Q3NS44_AMAAE: Predicted ERROR, probability : 0.9921
E5T6H0_TRISP: Predicted ERROR, probability : 0.5758
E1B8R8_BOVIN: Predicted ERROR, probability : 0.5586
C5KZJ7_PERM5: Predicted ERROR, probability : 0.9876
C1MPJ1_MICPC: Predicted CORRECT, probability : 0.4609
A0A0D2MTC3_9CHLO: Predicted ERROR, probability : 0.8906
G7PMB1_MACFA: Predicted ERROR, probability : 0.6408
G3SBA0_GORGO: Predicted ERROR, probability : 0.9997
H2Q1F4_PANTR: Predicted CORRECT, probability : 0.3475
B7Q560_IXOSC: Predicted ERROR, probability : 0.8614
C5LN48_PERM5: Predicted ERROR, probability : 0.5226
A0A0L7LCV5_9NEOP: Predicted ERROR, probability : 0.9647
A0A096MNW8_PAPAN: Predicted ERROR, probability : 0.5187
B0WLK0_CULQU: Predicted CORRECT, probability : 0.1522
T1JGE4_STRMM: Predicted ERROR, probability : 0.8483
M3Z0E8_MUSPF: Predicted ERROR, probability : 0.9855
A0A0K0DNK3_ANGCA: Predicted ERROR, probability : 0.8997
J9FAV5_9SPIT: Predicted ERROR, probability : 0.9561
S9WXN6_9TRYP: Predicted ERROR, probability : 0.9221
H0WJQ5_OTOGA: Predicted CORRECT, probability : 0.2866
B4N2G2_DROWI: Predicted ERROR, probability : 0.5271
U3KCY4_FICAL: Predicted CORRECT, probability : 0.3393
A0A067R087_ZOONE: Predicted ERROR, probability : 0.9376
A9V3H9_MONBE: Predicted ERROR, probability : 0.5745
F7CR52_HORSE: Predicted ERROR, probability : 0.6533
B4QG25_DROSI: Predicted CORRECT, probability : 0.4029
A0A0L7R1U8_9HYME: Predicted ERROR, probability : 0.9908
A0A091E5J9_FUKDA: Predicted ERROR, probability : 0.7768
A0A067QNW7_ZOONE: Predicted ERROR, probability : 0.9957
G3VHQ8_SARHA: Predicted ERROR, probability : 0.9728
U1NVK8_ASCSU: Predicted ERROR, probability : 0.9939
B7PHC5_IXOSC: Predicted ERROR, probability : 0.9411
D7G4K8_ECTSI: Predicted ERROR, probability : 0.5988
T1FAN3_HELRO: Predicted ERROR, probability : 0.9988
W5J3B6_ANODA: Predicted CORRECT, probability : 0.4497
A0A077ZET2_TRITR: Predicted ERROR, probability : 0.8814
S7Q6Z2_MYOBR: Predicted ERROR, probability : 0.7662
A0A0V0QEV5_PSEPJ: Predicted ERROR, probability : 0.9998
H2YKL4_CIOSA: Predicted ERROR, probability : 0.9982
A0A0G4J0S8_PLABS: Predicted CORRECT, probability : 0.4917
A0A0D2MZJ7_9CHLO: Predicted ERROR, probability : 0.6031
A0A0D8XG01_DICVI: Predicted ERROR, probability : 0.9994
G5AKE4_HETGA: Predicted CORRECT, probability : 0.2435
S9XT29_CAMFR: Predicted ERROR, probability : 0.9993
A0A0M0JBD0_9EUKA: Predicted ERROR, probability : 0.7953
V8NXV9_OPHHA: Predicted ERROR, probability : 0.9998
K7FCT6_PELSI: Predicted ERROR, probability : 0.8858
T1JX53_TETUR: Predicted ERROR, probability : 0.5837
N6TE63_DENPD: Predicted ERROR, probability : 0.7254
K3WT36_PYTUL: Predicted ERROR, probability : 0.5498
G1LGY7_AILME: Predicted CORRECT, probability : 0.2601
X6NC44_RETFI: Predicted ERROR, probability : 0.9934
G3PLE4_GASAC: Predicted ERROR, probability : 0.8814
A0A077YX28_TRITR: Predicted ERROR, probability : 1.0000
Q231T4_TETTS: Predicted ERROR, probability : 0.6929
A0A0D9RUP7_CHLSB: Predicted ERROR, probability : 0.7548
F6QAP7_MONDO: Predicted CORRECT, probability : 0.4275
X6MBP4_RETFI: Predicted ERROR, probability : 0.9937
F2TYE0_SALR5: Predicted ERROR, probability : 0.5911
I1FJX1_AMPQE: Predicted ERROR, probability : 0.5161
T1HY60_RHOPR: Predicted ERROR, probability : 0.8497
E0VD41_PEDHC: Predicted CORRECT, probability : 0.1390
J9GCY5_9SPIT: Predicted ERROR, probability : 0.5737
I3MFS4_ICTTR: Predicted CORRECT, probability : 0.3524
W6U9G9_ECHGR: Predicted ERROR, probability : 0.9475
A0A024G1W2_9STRA: Predicted ERROR, probability : 0.6585
A0A0N4YLA9_NIPBR: Predicted ERROR, probability : 0.8839
W5NCP5_LEPOC: Predicted CORRECT, probability : 0.4067
A0A0D8XTB0_DICVI: Predicted ERROR, probability : 0.9649
W2R2K8_PHYPN: Predicted ERROR, probability : 0.9595
A0A0S4IYJ2_BODSA: Predicted CORRECT, probability : 0.4923
E1C3J8_CHICK: Predicted ERROR, probability : 0.9529
A0A090LTH6_STRRB: Predicted CORRECT, probability : 0.1212
A0A132AED3_SARSC: Predicted ERROR, probability : 0.9426
M3Y2I1_MUSPF: Predicted CORRECT, probability : 0.0823
U1MA65_ASCSU: Predicted ERROR, probability : 0.9784
G3THW0_LOXAF: Predicted ERROR, probability : 0.5695
A0A0Q3USQ4_AMAAE: Predicted ERROR, probability : 0.9755
G5BAW2_HETGA: Predicted ERROR, probability : 0.9957
I1FM04_AMPQE: Predicted ERROR, probability : 0.9070
M3WPF5_FELCA: Predicted ERROR, probability : 0.8973
G6D7L1_DANPL: Predicted ERROR, probability : 0.5871
F6W3E7_CALJA: Predicted CORRECT, probability : 0.4471
A9UU67_MONBE: Predicted ERROR, probability : 0.8341
A0A0P7YH18_9TELE: Predicted ERROR, probability : 0.8641
A0A176W2C4_MARPO: Predicted ERROR, probability : 0.9768
A0A0N5CRS9_THECL: Predicted ERROR, probability : 0.7723
A0A091DEG5_FUKDA: Predicted ERROR, probability : 0.9923
W2T9L8_NECAM: Predicted ERROR, probability : 0.9693
A8JF63_CHLRE: Predicted ERROR, probability : 0.8981
A8XA77_CAEBR: Predicted ERROR, probability : 0.9989
S9WUF9_CAMFR: Predicted ERROR, probability : 0.8334
T1FEE1_HELRO: Predicted ERROR, probability : 0.9742
A7S4V5_NEMVE: Predicted ERROR, probability : 0.8967
T1L0Y2_TETUR: Predicted ERROR, probability : 0.7185
A0A194R4B8_PAPMA: Predicted ERROR, probability : 0.9153
F0YFS0_AURAN: Predicted ERROR, probability : 0.6991
G3QRU9_GORGO: Predicted ERROR, probability : 0.9979
E0W305_PEDHC: Predicted CORRECT, probability : 0.4840
K1QJC8_CRAGI: Predicted ERROR, probability : 0.9997
A0A074ZZC8_9TREM: Predicted ERROR, probability : 0.9717
S7NNW4_MYOBR: Predicted ERROR, probability : 0.9687
E2AIL6_CAMFO: Predicted ERROR, probability : 0.8428
A0A0N4XL88_NIPBR: Predicted ERROR, probability : 0.9826
L5MA71_MYODS: Predicted CORRECT, probability : 0.3912
U3KEX1_FICAL: Predicted ERROR, probability : 0.9546
A4I587_LEIIN: Predicted ERROR, probability : 0.5914
L9L6G3_TUPCH: Predicted ERROR, probability : 0.8932
F6QSW6_MACMU: Predicted ERROR, probability : 0.8564
F0YIA4_AURAN: Predicted ERROR, probability : 0.8527
S9U312_9TRYP: Predicted ERROR, probability : 0.9201
A0A0N5D3C4_THECL: Predicted ERROR, probability : 0.6766
A0A0L0C708_LUCCU: Predicted CORRECT, probability : 0.4743
A0A0N5AFX7_9BILA: Predicted ERROR, probability : 0.5357
E0VBP2_PEDHC: Predicted CORRECT, probability : 0.4299
U4UBI2_DENPD: Predicted CORRECT, probability : 0.3391
U6PWR3_HAECO: Predicted ERROR, probability : 0.8937
W5L0U3_ASTMX: Predicted ERROR, probability : 0.6482
T0QJ46_9STRA: Predicted CORRECT, probability : 0.4821
T1FPQ8_HELRO: Predicted ERROR, probability : 0.9467
F1NMA9_CHICK: Predicted CORRECT, probability : 0.4703
A0A0J7K9A4_LASNI: Predicted ERROR, probability : 0.9882
A8X7A4_CAEBR: Predicted CORRECT, probability : 0.2693
E0VL22_PEDHC: Predicted ERROR, probability : 0.9995
V9EH23_PHYPR: Predicted ERROR, probability : 0.9595
H2KV67_CLOSI: Predicted ERROR, probability : 0.7006
D7FJQ1_ECTSI: Predicted ERROR, probability : 0.7126
Q29J74_DROPS: Predicted ERROR, probability : 0.5393
A0A087XBC5_POEFO: Predicted ERROR, probability : 0.6592
T1IN54_STRMM: Predicted ERROR, probability : 0.8706
A0A0F8B4C5_LARCR: Predicted ERROR, probability : 0.9545
H2PME6_PONAB: Predicted CORRECT, probability : 0.1389
T1HN23_RHOPR: Predicted ERROR, probability : 0.5649
A0A194QKR5_PAPXU: Predicted ERROR, probability : 0.9444
A0A0Q3PJA8_AMAAE: Predicted ERROR, probability : 0.9991
G0PL12_CAEBE: Predicted ERROR, probability : 0.9344
Q18106_CAEEL: Predicted ERROR, probability : 0.9928
A0A077YZJ5_TRITR: Predicted ERROR, probability : 0.9946
T0M6I2_CAMFR: Predicted ERROR, probability : 0.9993
A0A024T8H2_9STRA: Predicted CORRECT, probability : 0.2974
G4LW93_SCHMA: Predicted ERROR, probability : 0.9997
A0A0L7RDV5_9HYME: Predicted ERROR, probability : 0.9703
A0A096MVJ7_PAPAN: Predicted ERROR, probability : 0.8070
G1U012_RABIT: Predicted ERROR, probability : 0.9739
A0A074Z9J3_9TREM: Predicted ERROR, probability : 0.9764
A0A074ZUN8_9TREM: Predicted ERROR, probability : 0.9728
A0A0L7KYG6_9NEOP: Predicted CORRECT, probability : 0.1690
B0X4V5_CULQU: Predicted ERROR, probability : 0.7639
A0A0B2UQ92_TOXCA: Predicted ERROR, probability : 0.9696
Q17L57_AEDAE: Predicted ERROR, probability : 0.5199
G7YDN7_CLOSI: Predicted ERROR, probability : 0.7007
K3XAU7_PYTUL: Predicted CORRECT, probability : 0.3449
A0A139APA4_GONPR: Predicted ERROR, probability : 0.9552
A2FHN7_TRIVA: Predicted ERROR, probability : 0.5534
A0A026X1H5_CERBI: Predicted ERROR, probability : 0.9996
A0A096NYG3_PAPAN: Predicted CORRECT, probability : 0.2694
G4YVH6_PHYSP: Predicted CORRECT, probability : 0.4758
B3RNV0_TRIAD: Predicted CORRECT, probability : 0.4243
V6LQF6_9EUKA: Predicted ERROR, probability : 0.9305
G0MY08_CAEBE: Predicted ERROR, probability : 0.9974
F6UU75_XENTR: Predicted CORRECT, probability : 0.3344
S9UEA4_9TRYP: Predicted CORRECT, probability : 0.4946
E9HLR1_DAPPU: Predicted CORRECT, probability : 0.3971
A0A151X283_9HYME: Predicted CORRECT, probability : 0.4097
V8NP63_OPHHA: Predicted ERROR, probability : 0.9938
SDCG8_DANRE: Predicted CORRECT, probability : 0.4146
A0A0J7KYW6_LASNI: Predicted ERROR, probability : 0.7253
F4WHH8_ACREC: Predicted ERROR, probability : 0.9879
E4XVV5_OIKDI: Predicted ERROR, probability : 0.8447
Q7Q5W5_ANOGA: Predicted CORRECT, probability : 0.4183
A0A0Q3P3K1_AMAAE: Predicted ERROR, probability : 0.9983
E5SY15_TRISP: Predicted ERROR, probability : 0.9999
A0A0P7UWQ0_9TELE: Predicted ERROR, probability : 0.9954
K1QT73_CRAGI: Predicted ERROR, probability : 0.5819
G0NG53_CAEBE: Predicted ERROR, probability : 0.5212
F6Z899_ORNAN: Predicted ERROR, probability : 0.5768
A0A0P7UGW9_9TELE: Predicted ERROR, probability : 0.9057
D8LKV4_ECTSI: Predicted ERROR, probability : 0.9734
W4XFB5_STRPU: Predicted ERROR, probability : 0.7769
B3RJ12_TRIAD: Predicted CORRECT, probability : 0.3366
H2ZVT4_LATCH: Predicted ERROR, probability : 0.9026
U6NWB7_HAECO: Predicted ERROR, probability : 0.9195
G6CI51_DANPL: Predicted CORRECT, probability : 0.4559
X6MN26_RETFI: Predicted ERROR, probability : 0.9792
U4U1B9_DENPD: Predicted ERROR, probability : 0.8297
S9W5H1_CAMFR: Predicted ERROR, probability : 0.9628
G1KIP3_ANOCA: Predicted CORRECT, probability : 0.0893
E5S6Z6_TRISP: Predicted ERROR, probability : 0.9906
G3R8E0_GORGO: Predicted ERROR, probability : 0.7556
A0A151P2F5_ALLMI: Predicted CORRECT, probability : 0.1607
A0A026VXT6_CERBI: Predicted ERROR, probability : 0.9063
A0A0R3Q1I7_ANGCS: Predicted ERROR, probability : 1.0000
E9HT82_DAPPU: Predicted CORRECT, probability : 0.4139
A0A0N4VQP4_ENTVE: Predicted ERROR, probability : 0.9996
A0A0N5CLZ3_THECL: Predicted ERROR, probability : 0.5081
T1JN25_STRMM: Predicted ERROR, probability : 0.8600
J9P3I0_CANLF: Predicted ERROR, probability : 0.9467
E0VDR8_PEDHC: Predicted CORRECT, probability : 0.3026
A0A0R3TYF9_HYMNN: Predicted ERROR, probability : 0.8140
U1MQZ9_ASCSU: Predicted ERROR, probability : 0.6640
A0A158P6E8_ANGCA: Predicted ERROR, probability : 0.8823
A0A0N0DVH7_9TRYP: Predicted ERROR, probability : 0.6641
V8NZP0_OPHHA: Predicted ERROR, probability : 0.9917
A0A074Z8B0_9TREM: Predicted ERROR, probability : 0.9877
L8YI31_TUPCH: Predicted ERROR, probability : 0.6417
V4C0L9_LOTGI: Predicted ERROR, probability : 0.9694
D2V9Y2_NAEGR: Predicted ERROR, probability : 0.6716
A0A0L7LQI9_9NEOP: Predicted ERROR, probability : 0.9813
L5K2E4_PTEAL: Predicted ERROR, probability : 0.9780
I1FHC1_AMPQE: Predicted ERROR, probability : 0.6252
H2Y718_CIOSA: Predicted CORRECT, probability : 0.3964
W5JX09_ANODA: Predicted ERROR, probability : 0.9890
C3YW88_BRAFL: Predicted ERROR, probability : 0.8734
T1HIG5_RHOPR: Predicted ERROR, probability : 0.9955
A0A0W8BXS2_PHYNI: Predicted ERROR, probability : 0.8774
G4LWA2_SCHMA: Predicted ERROR, probability : 0.9733
A0A0R3PMB9_ANGCS: Predicted ERROR, probability : 0.9928
I3J4U2_ORENI: Predicted CORRECT, probability : 0.3280
X6NKM2_RETFI: Predicted ERROR, probability : 0.9999
F6UML6_ORNAN: Predicted CORRECT, probability : 0.4238
A8HYK1_CHLRE: Predicted ERROR, probability : 0.5980
F4WE11_ACREC: Predicted ERROR, probability : 0.9919
H0VMP6_CAVPO: Predicted ERROR, probability : 0.8809
V8P7R8_OPHHA: Predicted CORRECT, probability : 0.2314
S7NMU2_MYOBR: Predicted ERROR, probability : 0.7235
W4YMR2_STRPU: Predicted ERROR, probability : 0.7309
A0A0L0DKV4_THETB: Predicted ERROR, probability : 0.6828
G1LRW4_AILME: Predicted ERROR, probability : 0.7262
A0A0Q3NFF7_AMAAE: Predicted ERROR, probability : 0.9975
A0A0J7L6G1_LASNI: Predicted ERROR, probability : 0.8424
A0A151XGI9_9HYME: Predicted ERROR, probability : 0.9074
A0A0B2UXS5_TOXCA: Predicted ERROR, probability : 0.6156
Q17MR4_AEDAE: Predicted CORRECT, probability : 0.2666
W4XP81_STRPU: Predicted CORRECT, probability : 0.2870
Q4Q7P7_LEIMA: Predicted ERROR, probability : 0.7467
K1QNC8_CRAGI: Predicted ERROR, probability : 0.9964
M3XFE7_FELCA: Predicted CORRECT, probability : 0.3397
K7G672_PELSI: Predicted CORRECT, probability : 0.4020
G1RFG0_NOMLE: Predicted ERROR, probability : 0.7492
J9FWB3_9SPIT: Predicted CORRECT, probability : 0.3891
W5JQZ5_ANODA: Predicted ERROR, probability : 0.5668
A0A0W8BYL7_PHYNI: Predicted ERROR, probability : 0.9628
FRITZ_HUMAN: Predicted ERROR, probability : 0.6932
A0A0N5E216_TRIMR: Predicted ERROR, probability : 0.7571
S9X558_CAMFR: Predicted ERROR, probability : 0.9752
A0A095AGH2_SCHHA: Predicted ERROR, probability : 0.6288
A0A0J7L2Z2_LASNI: Predicted ERROR, probability : 0.9827
A0A0L0C437_LUCCU: Predicted CORRECT, probability : 0.4466
U6PCU9_HAECO: Predicted ERROR, probability : 0.5602
H2RV16_TAKRU: Predicted CORRECT, probability : 0.2909
G3VZE5_SARHA: Predicted CORRECT, probability : 0.0552
E9HLA0_DAPPU: Predicted ERROR, probability : 0.6808
A0A0N4V633_ENTVE: Predicted ERROR, probability : 0.9998
K1QAR1_CRAGI: Predicted CORRECT, probability : 0.2097
W6L0G6_9TRYP: Predicted ERROR, probability : 0.7940
H2XNP6_CIOIN: Predicted ERROR, probability : 0.9947
E4X815_OIKDI: Predicted CORRECT, probability : 0.3484
A0A078AVA6_STYLE: Predicted CORRECT, probability : 0.4478
A9TVU1_PHYPA: Predicted ERROR, probability : 0.5064
C5LJ88_PERM5: Predicted ERROR, probability : 0.5198
U3JJ66_FICAL: Predicted CORRECT, probability : 0.0865
A0A061IZW5_TRYRA: Predicted ERROR, probability : 0.9901
A0A154P3J0_9HYME: Predicted ERROR, probability : 0.9348
A0A091EMF5_FUKDA: Predicted CORRECT, probability : 0.3064
A0A183A5T8_9TREM: Predicted ERROR, probability : 0.9779
C5KJE9_PERM5: Predicted ERROR, probability : 0.8938
A0A0N5DZF4_TRIMR: Predicted ERROR, probability : 0.9513
L8Y3M0_TUPCH: Predicted CORRECT, probability : 0.3656
V4ARC4_LOTGI: Predicted ERROR, probability : 0.7931
S9VQC5_9TRYP: Predicted ERROR, probability : 0.7261
M7BLP7_CHEMY: Predicted ERROR, probability : 0.9893
E2AM43_CAMFO: Predicted CORRECT, probability : 0.4706
U3K0T5_FICAL: Predicted CORRECT, probability : 0.3389
F6YTD1_ORNAN: Predicted CORRECT, probability : 0.3979
H2YY40_CIOSA: Predicted ERROR, probability : 0.9983
S9WFZ2_9TRYP: Predicted ERROR, probability : 0.9440
V8P938_OPHHA: Predicted ERROR, probability : 0.5596
E5S6G3_TRISP: Predicted ERROR, probability : 0.9953
J9NVH9_CANLF: Predicted CORRECT, probability : 0.2951
A0CKD4_PARTE: Predicted ERROR, probability : 0.9821
A0A183JAJ7_9BILA: Predicted ERROR, probability : 0.9988
A0A0D8Y273_DICVI: Predicted ERROR, probability : 0.6554
B3RW68_TRIAD: Predicted ERROR, probability : 0.9952
U3KA66_FICAL: Predicted CORRECT, probability : 0.3445
L5LUJ9_MYODS: Predicted ERROR, probability : 0.5027
H2Z2Z3_CIOSA: Predicted ERROR, probability : 0.9738
G4M289_SCHMA: Predicted ERROR, probability : 1.0000
A0A183APX3_9TREM: Predicted ERROR, probability : 0.9482
U1MTI6_ASCSU: Predicted ERROR, probability : 0.7214
B4LLH6_DROVI: Predicted CORRECT, probability : 0.4662
A0A095CDS9_SCHHA: Predicted CORRECT, probability : 0.3090
A0A194Q555_PAPXU: Predicted ERROR, probability : 0.9680
G6DDV4_DANPL: Predicted CORRECT, probability : 0.0647
W2TKW8_NECAM: Predicted ERROR, probability : 0.9850
G0P085_CAEBE: Predicted CORRECT, probability : 0.3788
G6D351_DANPL: Predicted ERROR, probability : 0.5111
K0RSF4_THAOC: Predicted ERROR, probability : 0.7641
L5KPQ6_PTEAL: Predicted ERROR, probability : 0.5221
B7QBS1_IXOSC: Predicted ERROR, probability : 0.9981
A0A0N5AHG3_9BILA: Predicted CORRECT, probability : 0.2745
L9KKP9_TUPCH: Predicted ERROR, probability : 0.9856
L5KGB9_PTEAL: Predicted ERROR, probability : 0.5327
A0A0N4U336_DRAME: Predicted ERROR, probability : 0.9296
M7B384_CHEMY: Predicted CORRECT, probability : 0.4590
C3ZXE5_BRAFL: Predicted ERROR, probability : 0.5054
A0A0N8JWN9_9TELE: Predicted ERROR, probability : 0.9744
D2UZG5_NAEGR: Predicted CORRECT, probability : 0.4871
H2YNN2_CIOSA: Predicted ERROR, probability : 0.8563
G4VAW8_SCHMA: Predicted ERROR, probability : 0.9086
F7H279_MACMU: Predicted CORRECT, probability : 0.4663
G6DAA6_DANPL: Predicted ERROR, probability : 0.7215
A0A131ZVY5_SARSC: Predicted ERROR, probability : 0.7968
A0A0Q3X151_AMAAE: Predicted ERROR, probability : 0.9258
G4V987_SCHMA: Predicted ERROR, probability : 0.6442
F7A6Y6_HORSE: Predicted CORRECT, probability : 0.2669
A0A075AI93_9TREM: Predicted ERROR, probability : 0.8052
A0A158NV12_ATTCE: Predicted CORRECT, probability : 0.4929
A0A0B2W5N6_TOXCA: Predicted ERROR, probability : 0.6474
Q28WL3_DROPS: Predicted CORRECT, probability : 0.4770
D8U9W7_VOLCA: Predicted ERROR, probability : 0.8200
A0A0R3UKA0_9CEST: Predicted ERROR, probability : 0.9066
E3LZ78_CAERE: Predicted ERROR, probability : 0.9981
A6QQN3_BOVIN: Predicted ERROR, probability : 0.9280
A0A067BYV7_SAPPC: Predicted ERROR, probability : 0.9777
K3WZB3_PYTUL: Predicted CORRECT, probability : 0.4756
K7EE43_ORNAN: Predicted ERROR, probability : 0.7255
H0VYD3_CAVPO: Predicted ERROR, probability : 0.9917
T1IBT8_RHOPR: Predicted ERROR, probability : 0.8681
G7YRB8_CLOSI: Predicted ERROR, probability : 0.9861
H0V4N5_CAVPO: Predicted CORRECT, probability : 0.2926
K7FNG7_PELSI: Predicted ERROR, probability : 0.7958
G4VQ40_SCHMA: Predicted ERROR, probability : 0.9714
A0A194Q8A3_PAPXU: Predicted ERROR, probability : 0.8053
A0A0L0BP76_LUCCU: Predicted ERROR, probability : 0.7429
G7PFB8_MACFA: Predicted ERROR, probability : 0.8170
A0A0L7R3T5_9HYME: Predicted ERROR, probability : 0.6344
M3Y536_MUSPF: Predicted CORRECT, probability : 0.1860
A0A151N8X3_ALLMI: Predicted CORRECT, probability : 0.2843
G6D0W2_DANPL: Predicted ERROR, probability : 0.9795
A0A090LHJ8_STRRB: Predicted ERROR, probability : 0.8156
S9WAQ4_CAMFR: Predicted ERROR, probability : 0.7098
A0A194QWL4_PAPMA: Predicted ERROR, probability : 0.8288
A0A095C034_SCHHA: Predicted ERROR, probability : 0.6267
E3MFB0_CAERE: Predicted ERROR, probability : 0.7638
S9VGG5_9TRYP: Predicted ERROR, probability : 0.7601
C5K856_PERM5: Predicted ERROR, probability : 0.8490
A0A0K0DQS2_ANGCA: Predicted ERROR, probability : 1.0000
A0A0G4FM83_VITBC: Predicted CORRECT, probability : 0.4362
G7YW87_CLOSI: Predicted ERROR, probability : 0.9795
A0A067QHW0_ZOONE: Predicted ERROR, probability : 0.8403
A0A0N4UER5_DRAME: Predicted ERROR, probability : 0.9976
G0NCM0_CAEBE: Predicted CORRECT, probability : 0.3037
A0A0D8XYE9_DICVI: Predicted ERROR, probability : 0.9143
D2VGV9_NAEGR: Predicted CORRECT, probability : 0.2673
S9TWC6_9TRYP: Predicted ERROR, probability : 0.6528
E2ABI1_CAMFO: Predicted ERROR, probability : 0.9324
G0QTI4_ICHMG: Predicted ERROR, probability : 0.9816
C5KB09_PERM5: Predicted ERROR, probability : 0.8755
A0A0T6B7J9_9SCAR: Predicted ERROR, probability : 0.9999
B4LTL5_DROVI: Predicted ERROR, probability : 0.5912
F7BTA0_HORSE: Predicted ERROR, probability : 0.9897
I3KCZ4_ORENI: Predicted CORRECT, probability : 0.3197
W5KIU0_ASTMX: Predicted CORRECT, probability : 0.3441
F6PTH6_XENTR: Predicted CORRECT, probability : 0.3789
A8HMT4_CHLRE: Predicted ERROR, probability : 0.9913
Q4QBL0_LEIMA: Predicted ERROR, probability : 0.6067
H2R6Z7_PANTR: Predicted ERROR, probability : 0.8540
A0A132A3B4_SARSC: Predicted ERROR, probability : 0.9631
A0A096NA64_PAPAN: Predicted CORRECT, probability : 0.3272
A8XRG6_CAEBR: Predicted ERROR, probability : 0.9853
A0A078BAX5_STYLE: Predicted CORRECT, probability : 0.2918
H0WG94_OTOGA: Predicted CORRECT, probability : 0.2755
A0A075AJT9_9TREM: Predicted ERROR, probability : 0.9742
Q7PW09_ANOGA: Predicted ERROR, probability : 0.8791
C1FDK7_MICCC: Predicted CORRECT, probability : 0.1546
A0A0D8XP81_DICVI: Predicted ERROR, probability : 0.9433
F2UFD6_SALR5: Predicted ERROR, probability : 0.9717
A0A0K0J7N8_BRUMA: Predicted CORRECT, probability : 0.1634
